user,total purchases,HR@5,WHR@5,nDCG@5,recall@5,precision@5,HR@10,WHR@10,nDCG@10,recall@10,precision@10
6601,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7305,5,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.2
5974,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11488,14,0.2,0.19999999999999998,0.16958010263680803,0.07142857142857142,0.2,0.1,0.14545454545454548,0.11004588314904007,0.07142857142857142,0.1
19024,21,0.2,0.26666666666666666,0.2139862647345275,0.047619047619047616,0.2,0.2,0.23636363636363636,0.21222636597291453,0.09523809523809523,0.2
9982,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2388,5,0.4,0.5333333333333333,0.5087403079104241,0.4,0.4,0.4,0.45,0.5087403079104241,0.4,0.2
2493,4,0.25,0.2142857142857143,0.19519002499605081,0.25,0.2,0.25,0.23529411764705882,0.19519002499605081,0.25,0.1
10507,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.1
14319,10,0.0,0.0,0.0,0.0,0.0,0.1,0.05454545454545456,0.06943122193677725,0.1,0.1
20365,9,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.03703703703703703,0.0707557607210806,0.1111111111111111,0.1
14543,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4038,6,0.4,0.39999999999999997,0.4703652827859578,0.3333333333333333,0.4,0.3333333333333333,0.35555555555555557,0.4196650066367769,0.3333333333333333,0.2
13104,29,0.2,0.3333333333333333,0.33916020527361607,0.034482758620689655,0.2,0.2,0.2727272727272727,0.2984900352767555,0.06896551724137931,0.2
8509,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12535,6,0.2,0.06666666666666665,0.13120507751234176,0.16666666666666666,0.2,0.16666666666666666,0.13333333333333333,0.11706259313796352,0.16666666666666666,0.1
17085,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9433,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5635,6,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.1111111111111111,0.10778915452451095,0.3333333333333333,0.2
5041,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19586,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,12,0.2,0.19999999999999998,0.16958010263680803,0.08333333333333333,0.2,0.1,0.14545454545454548,0.11004588314904007,0.08333333333333333,0.1
12194,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11497,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17480,6,0.2,0.19999999999999998,0.16958010263680803,0.16666666666666666,0.2,0.16666666666666666,0.17777777777777778,0.15130120674940672,0.16666666666666666,0.1
19532,37,0.6,0.6666666666666666,0.6548086577531306,0.08108108108108109,0.6,0.3,0.45454545454545453,0.424926013816671,0.08108108108108109,0.3
15428,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5119,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4536,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18124,6,0.2,0.19999999999999998,0.16958010263680803,0.16666666666666666,0.2,0.5,0.17777777777777778,0.15130120674940672,0.5,0.3
1133,17,0.2,0.3333333333333333,0.33916020527361607,0.058823529411764705,0.2,0.4,0.4,0.44128517931289274,0.23529411764705882,0.4
18102,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16286,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19224,20,0.4,0.6,0.5531464700081437,0.1,0.4,0.4,0.47272727272727266,0.501749354207772,0.2,0.4
